filename,has_epb
CA_O6_CA_20251022_212651_1280.png,1
CA_O6_CA_20251022_213105_1280.png,1
CA_O6_CA_20251022_213519_1280.png,1
CA_O6_CA_20251022_213933_1280.png,1
CA_O6_CA_20251022_214347_1280.png,1
CA_O6_CA_20251022_214801_1280.png,1
CA_O6_CA_20251022_215214_1280.png,1
CA_O6_CA_20251022_215628_1280.png,1
CA_O6_CA_20251022_220042_1280.png,1
CA_O6_CA_20251022_220456_1280.png,1
CA_O6_CA_20251022_220910_1280.png,1
CA_O6_CA_20251022_221324_1280.png,1
CA_O6_CA_20251022_221737_1280.png,1
CA_O6_CA_20251022_222151_1280.png,1
CA_O6_CA_20251022_222605_1280.png,1
CA_O6_CA_20251022_223019_1280.png,1
CA_O6_CA_20251022_223433_1280.png,1
CA_O6_CA_20251022_223847_1280.png,1
CA_O6_CA_20251022_224300_1280.png,1
CA_O6_CA_20251022_224714_1280.png,1
CA_O6_CA_20251022_225128_1280.png,1
CA_O6_CA_20251022_225542_1280.png,1
CA_O6_CA_20251022_225956_1280.png,1
CA_O6_CA_20251022_230410_1280.png,1
CA_O6_CA_20251022_230824_1280.png,1
CA_O6_CA_20251022_231237_1280.png,1
CA_O6_CA_20251022_231651_1280.png,1
CA_O6_CA_20251022_232105_1280.png,1
CA_O6_CA_20251022_232519_1280.png,1
CA_O6_CA_20251022_232933_1280.png,1
CA_O6_CA_20251022_233347_1280.png,1
CA_O6_CA_20251022_233800_1280.png,1
CA_O6_CA_20251022_234214_1280.png,1
CA_O6_CA_20251022_234628_1280.png,1
CA_O6_CA_20251022_235042_1280.png,1
CA_O6_CA_20251022_235456_1280.png,1
CA_O6_CA_20251022_235925_1280.png,1
CA_O6_CA_20251023_000338_1280.png,1
CA_O6_CA_20251023_000752_1280.png,1
CA_O6_CA_20251023_001206_1280.png,1
CA_O6_CA_20251023_001620_1280.png,1
CA_O6_CA_20251023_002034_1280.png,1
CA_O6_CA_20251023_002448_1280.png,1
CA_O6_CA_20251023_002902_1280.png,1
CA_O6_CA_20251023_003315_1280.png,1
CA_O6_CA_20251023_003729_1280.png,1
CA_O6_CA_20251023_004143_1280.png,1
CA_O6_CA_20251023_005141_1280.png,1
CA_O6_CA_20251023_005555_1280.png,1
CA_O6_CA_20251023_010009_1280.png,1
CA_O6_CA_20251023_010423_1280.png,1
CA_O6_CA_20251023_010837_1280.png,1
CA_O6_CA_20251023_011251_1280.png,1
CA_O6_CA_20251023_011704_1280.png,1
CA_O6_CA_20251023_012118_1280.png,1
CA_O6_CA_20251023_012532_1280.png,1
CA_O6_CA_20251023_012946_1280.png,1
CA_O6_CA_20251023_013400_1280.png,1
CA_O6_CA_20251023_013814_1280.png,1
CA_O6_CA_20251023_014229_1280.png,1
CA_O6_CA_20251023_014643_1280.png,1
CA_O6_CA_20251023_015057_1280.png,1
CA_O6_CA_20251023_015511_1280.png,1
CA_O6_CA_20251023_015925_1280.png,1
CA_O6_CA_20251023_020339_1280.png,1
CA_O6_CA_20251023_020753_1280.png,1
CA_O6_CA_20251023_021206_1280.png,1
CA_O6_CA_20251023_021620_1280.png,1
CA_O6_CA_20251023_022036_1280.png,1
CA_O6_CA_20251023_022450_1280.png,1
CA_O6_CA_20251023_022904_1280.png,1
CA_O6_CA_20251023_023318_1280.png,1
CA_O6_CA_20251023_023731_1280.png,1
CA_O6_CA_20251023_024145_1280.png,1
CA_O6_CA_20251023_024559_1280.png,1
CA_O6_CA_20251023_025013_1280.png,1
CA_O6_CA_20251023_025427_1280.png,1
CA_O6_CA_20251023_025841_1280.png,1
CA_O6_CA_20251023_030254_1280.png,1
CA_O6_CA_20251023_030708_1280.png,1
CA_O6_CA_20251023_031122_1280.png,1
CA_O6_CA_20251023_031536_1280.png,1
CA_O6_CA_20251023_031950_1280.png,1
CA_O6_CA_20251023_032404_1280.png,1
CA_O6_CA_20251023_032817_1280.png,1
CA_O6_CA_20251023_033231_1280.png,1
CA_O6_CA_20251023_033645_1280.png,1
CA_O6_CA_20251023_034059_1280.png,1
CA_O6_CA_20251023_034513_1280.png,1
CA_O6_CA_20251023_034927_1280.png,1
CA_O6_CA_20251023_035340_1280.png,1
CA_O6_CA_20251023_035754_1280.png,1
CA_O6_CA_20251023_040208_1280.png,1
CA_O6_CA_20251023_040622_1280.png,1
CA_O6_CA_20251023_041036_1280.png,1
CA_O6_CA_20251023_041450_1280.png,1
CA_O6_CA_20251023_041905_1280.png,1
CA_O6_CA_20251023_042319_1280.png,1
CA_O6_CA_20251023_042733_1280.png,1
CA_O6_CA_20251023_043147_1280.png,1
CA_O6_CA_20251023_043601_1280.png,1
CA_O6_CA_20251023_044015_1280.png,1
CA_O6_CA_20251023_044428_1280.png,1
CA_O6_CA_20251023_044842_1280.png,1
CA_O6_CA_20251023_045256_1280.png,1
CA_O6_CA_20251023_045710_1280.png,1
BJL_O6_BJL_20250722_215252_1280.png,0
BJL_O6_BJL_20250722_215630_1280.png,0
BJL_O6_BJL_20250722_215821_1280.png,0
BJL_O6_BJL_20250722_220200_1280.png,0
BJL_O6_BJL_20250722_220350_1280.png,0
BJL_O6_BJL_20250722_220729_1280.png,0
BJL_O6_BJL_20250722_220920_1280.png,0
BJL_O6_BJL_20250722_221258_1280.png,0
BJL_O6_BJL_20250722_221449_1280.png,0
BJL_O6_BJL_20250722_221827_1280.png,0
BJL_O6_BJL_20250722_222018_1280.png,0
BJL_O6_BJL_20250722_222356_1280.png,0
BJL_O6_BJL_20250722_222547_1280.png,0
BJL_O6_BJL_20250722_222926_1280.png,0
BJL_O6_BJL_20250722_223116_1280.png,0
BJL_O6_BJL_20250722_223455_1280.png,0
BJL_O6_BJL_20250722_223646_1280.png,0
BJL_O6_BJL_20250722_224024_1280.png,0
BJL_O6_BJL_20250722_224215_1280.png,0
BJL_O6_BJL_20250722_224553_1280.png,0
BJL_O6_BJL_20250722_224744_1280.png,0
BJL_O6_BJL_20250722_225123_1280.png,0
BJL_O6_BJL_20250722_225313_1280.png,0
BJL_O6_BJL_20250722_225652_1280.png,0
BJL_O6_BJL_20250722_225842_1280.png,0
BJL_O6_BJL_20250722_230221_1280.png,0
BJL_O6_BJL_20250722_230412_1280.png,0
BJL_O6_BJL_20250722_230750_1280.png,0
BJL_O6_BJL_20250722_230941_1280.png,0
BJL_O6_BJL_20250722_231319_1280.png,0
BJL_O6_BJL_20250722_231510_1280.png,0
BJL_O6_BJL_20250722_231848_1280.png,0
